"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Validate request";"The request PROC.2026.00011595 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00011595";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00011595, in the amount of 7.646,00€, under budget record BUD.2026.00011577. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7646,00 €";"amount";"BUD.2026.00011577";"budget_id";"PROC.2026.00011595";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00011595, in the amount of 7.646,00€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7646,00 €";"amount";"Article 16";"legal_ref";"PROC.2026.00011595";"process_id";;
"Commit expense";"Commitment COM.2026.00011575 was generated for process PROC.2026.00011595, in the amount of 7.646,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7646,00 €";"amount";"COM.2026.00011575";"commitment_id";"PROC.2026.00011595";"process_id";;
"Issue order";"Order ORD.2026.00011571 was issued for process PROC.2026.00011595. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00011571";"order_id";"PROC.2026.00011595";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00011595. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00011595";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00011595 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00011595";"process_id";;;;;;
"Register request";"Request PROC.2026.00011699 was registered by Clara Reis for project Digital Campus, with an estimated amount of 1.460,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1460,50 €";"amount";"PROC.2026.00011699";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00011699 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00011699";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00011699, in the amount of 1.460,50€, under budget record BUD.2026.00011676. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1460,50 €";"amount";"BUD.2026.00011676";"budget_id";"PROC.2026.00011699";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00011699, in the amount of 1.460,50€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1460,50 €";"amount";"Article 16";"legal_ref";"PROC.2026.00011699";"process_id";;
"Commit expense";"Commitment COM.2026.00011692 was generated for process PROC.2026.00011699, in the amount of 1.460,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1460,50 €";"amount";"COM.2026.00011692";"commitment_id";"PROC.2026.00011699";"process_id";;
"Issue order";"Order ORD.2026.00011633 was issued for process PROC.2026.00011699. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00011633";"order_id";"PROC.2026.00011699";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00011699. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00011699";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00011699 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00011699";"process_id";;;;;;
"Register request";"Request PROC.2026.00011796 was registered by Alice Martins for project Secure Archive, with an estimated amount of 2.532,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2532,00 €";"amount";"PROC.2026.00011796";"process_id";"Secure Archive";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00011796 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00011796";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00011796, in the amount of 2.532,00€, under budget record BUD.2026.00011757. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2532,00 €";"amount";"BUD.2026.00011757";"budget_id";"PROC.2026.00011796";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00011796, in the amount of 2.532,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"2532,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00011796";"process_id";;
"Commit expense";"Commitment COM.2026.00011726 was generated for process PROC.2026.00011796, in the amount of 2.532,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"2532,00 €";"amount";"COM.2026.00011726";"commitment_id";"PROC.2026.00011796";"process_id";;
"Issue order";"Order ORD.2026.00011726 was issued for process PROC.2026.00011796. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00011726";"order_id";"PROC.2026.00011796";"process_id";;;;
"Notify requester";"A notification concerning project Secure Archive was sent to requester Alice Martins in the context of process PROC.2026.00011796. The message communicates the current status of the procedure and confirms that the necessary internal processing steps have been completed.";"PROC.2026.00011796";"process_id";"Secure Archive";"project";"Alice Martins";"requester";;
"Close";"Administrative closure was recorded for process PROC.2026.00011796. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00011796";"process_id";;;;;;
"Register request";"Request PROC.2026.00011838 was registered by Bruno Costa for project Digital Campus, with an estimated amount of 5.353,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5353,50 €";"amount";"PROC.2026.00011838";"process_id";"Digital Campus";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00011838 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00011838";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00011838, in the amount of 5.353,50€, under budget record BUD.2026.00011883. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5353,50 €";"amount";"BUD.2026.00011883";"budget_id";"PROC.2026.00011838";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00011838, in the amount of 5.353,50€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5353,50 €";"amount";"Article 16";"legal_ref";"PROC.2026.00011838";"process_id";;
"Commit expense";"Commitment COM.2026.00011888 was generated for process PROC.2026.00011838, in the amount of 5.353,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5353,50 €";"amount";"COM.2026.00011888";"commitment_id";"PROC.2026.00011838";"process_id";;
"Issue order";"Order ORD.2026.00011891 was issued for process PROC.2026.00011838. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00011891";"order_id";"PROC.2026.00011838";"process_id";;;;
"Notify requester";"A notification concerning project Digital Campus was sent to requester Bruno Costa in the context of process PROC.2026.00011838. The message communicates the current status of the procedure and confirms that the necessary internal processing steps have been completed.";"PROC.2026.00011838";"process_id";"Digital Campus";"project";"Bruno Costa";"requester";;
"Close";"Process PROC.2026.00011838 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00011838";"process_id";;;;;;
"Register request";"Request PROC.2026.00011917 was registered by Alice Martins for project Digital Campus, with an estimated amount of 7.043,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7043,50 €";"amount";"PROC.2026.00011917";"process_id";"Digital Campus";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00011917 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00011917";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00011917, in the amount of 7.043,50€, under budget record BUD.2026.00011923. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7043,50 €";"amount";"BUD.2026.00011923";"budget_id";"PROC.2026.00011917";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00011917, in the amount of 7.043,50€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7043,50 €";"amount";"Article 16";"legal_ref";"PROC.2026.00011917";"process_id";;
"Commit expense";"Commitment COM.2026.00011948 was generated for process PROC.2026.00011917, in the amount of 7.043,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7043,50 €";"amount";"COM.2026.00011948";"commitment_id";"PROC.2026.00011917";"process_id";;
"Issue order";"Order ORD.2026.00011968 was issued for process PROC.2026.00011917. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00011968";"order_id";"PROC.2026.00011917";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00011917. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00011917";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00011917 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00011917";"process_id";;;;;;
"Register request";"Request PROC.2026.00012076 was registered by Clara Reis for project Student Portal, with an estimated amount of 5.004,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5004,00 €";"amount";"PROC.2026.00012076";"process_id";"Student Portal";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00012076 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012076";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012076, in the amount of 5.004,00€, under budget record BUD.2026.00012031. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5004,00 €";"amount";"BUD.2026.00012031";"budget_id";"PROC.2026.00012076";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012076, in the amount of 5.004,00€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5004,00 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00012076";"process_id";;
"Commit expense";"Commitment COM.2026.00012075 was generated for process PROC.2026.00012076, in the amount of 5.004,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5004,00 €";"amount";"COM.2026.00012075";"commitment_id";"PROC.2026.00012076";"process_id";;
"Issue order";"Order ORD.2026.00012098 was issued for process PROC.2026.00012076. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012098";"order_id";"PROC.2026.00012076";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00012076. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012076";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00012076 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012076";"process_id";;;;;;
"Register request";"Request PROC.2026.00012123 was registered by Diogo Almeida for project Digital Campus, with an estimated amount of 3.026,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3026,75 €";"amount";"PROC.2026.00012123";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00012123 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012123";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012123, in the amount of 3.026,75€, under budget record BUD.2026.00012179. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"3026,75 €";"amount";"BUD.2026.00012179";"budget_id";"PROC.2026.00012123";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012123, in the amount of 3.026,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3026,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012123";"process_id";;
"Commit expense";"Commitment COM.2026.00012158 was generated for process PROC.2026.00012123, in the amount of 3.026,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3026,75 €";"amount";"COM.2026.00012158";"commitment_id";"PROC.2026.00012123";"process_id";;
"Issue order";"Order ORD.2026.00012121 was issued for process PROC.2026.00012123. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012121";"order_id";"PROC.2026.00012123";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00012123. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012123";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00012123 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012123";"process_id";;;;;;
"Register request";"Request PROC.2026.00012225 was registered by Alice Martins for project Student Portal, with an estimated amount of 1.638,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1638,50 €";"amount";"PROC.2026.00012225";"process_id";"Student Portal";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00012225 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012225";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012225, in the amount of 1.638,50€, under budget record BUD.2026.00012293. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1638,50 €";"amount";"BUD.2026.00012293";"budget_id";"PROC.2026.00012225";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012225, in the amount of 1.638,50€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1638,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00012225";"process_id";;
"Commit expense";"Commitment COM.2026.00012293 was generated for process PROC.2026.00012225, in the amount of 1.638,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1638,50 €";"amount";"COM.2026.00012293";"commitment_id";"PROC.2026.00012225";"process_id";;
"Issue order";"Order ORD.2026.00012229 was issued for process PROC.2026.00012225. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012229";"order_id";"PROC.2026.00012225";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00012225. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012225";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00012225 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012225";"process_id";;;;;;
"Register request";"Request PROC.2026.00012377 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 6.208,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6208,00 €";"amount";"PROC.2026.00012377";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00012377 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012377";"process_id";;;;;;
"Check budget";"The amount 6.208,00€ associated with process PROC.2026.00012377 is covered by budget record BUD.2026.00012362. The verification confirms that the requested expenditure has available funding and can be forwarded to the responsible authority for formal authorization of the expense.";"6208,00 €";"amount";"BUD.2026.00012362";"budget_id";"PROC.2026.00012377";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012377, in the amount of 6.208,00€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6208,00 €";"amount";"Article 16";"legal_ref";"PROC.2026.00012377";"process_id";;
"Commit expense";"Commitment COM.2026.00012359 was generated for process PROC.2026.00012377, in the amount of 6.208,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6208,00 €";"amount";"COM.2026.00012359";"commitment_id";"PROC.2026.00012377";"process_id";;
"Issue order";"Order ORD.2026.00012370 was issued for process PROC.2026.00012377. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012370";"order_id";"PROC.2026.00012377";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00012377. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012377";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00012377 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012377";"process_id";;;;;;
"Register request";"Request PROC.2026.00012455 was registered by Clara Reis for project Secure Archive, with an estimated amount of 6.453,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6453,00 €";"amount";"PROC.2026.00012455";"process_id";"Secure Archive";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00012455 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012455";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012455, in the amount of 6.453,00€, under budget record BUD.2026.00012418. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6453,00 €";"amount";"BUD.2026.00012418";"budget_id";"PROC.2026.00012455";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012455, in the amount of 6.453,00€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6453,00 €";"amount";"Article 16";"legal_ref";"PROC.2026.00012455";"process_id";;
"Commit expense";"Commitment COM.2026.00012436 was generated for process PROC.2026.00012455, in the amount of 6.453,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6453,00 €";"amount";"COM.2026.00012436";"commitment_id";"PROC.2026.00012455";"process_id";;
"Issue order";"Order ORD.2026.00012433 was issued for process PROC.2026.00012455. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012433";"order_id";"PROC.2026.00012455";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00012455. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012455";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00012455 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012455";"process_id";;;;;;
"Register request";"Request PROC.2026.00012521 was registered by Clara Reis for project Student Portal, with an estimated amount of 4.159,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4159,25 €";"amount";"PROC.2026.00012521";"process_id";"Student Portal";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00012521 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012521";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012521, in the amount of 4.159,25€, under budget record BUD.2026.00012554. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4159,25 €";"amount";"BUD.2026.00012554";"budget_id";"PROC.2026.00012521";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012521, in the amount of 4.159,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4159,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012521";"process_id";;
"Commit expense";"Commitment COM.2026.00012529 was generated for process PROC.2026.00012521, in the amount of 4.159,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4159,25 €";"amount";"COM.2026.00012529";"commitment_id";"PROC.2026.00012521";"process_id";;
"Issue order";"Order ORD.2026.00012556 was issued for process PROC.2026.00012521. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012556";"order_id";"PROC.2026.00012521";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00012521. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012521";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00012521 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012521";"process_id";;;;;;
"Register request";"Request PROC.2026.00012626 was registered by Bruno Costa for project Secure Archive, with an estimated amount of 3.308,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3308,25 €";"amount";"PROC.2026.00012626";"process_id";"Secure Archive";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00012626 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012626";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012626, in the amount of 3.308,25€, under budget record BUD.2026.00012649. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"3308,25 €";"amount";"BUD.2026.00012649";"budget_id";"PROC.2026.00012626";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012626, in the amount of 3.308,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3308,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012626";"process_id";;
"Commit expense";"Commitment COM.2026.00012688 was generated for process PROC.2026.00012626, in the amount of 3.308,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3308,25 €";"amount";"COM.2026.00012688";"commitment_id";"PROC.2026.00012626";"process_id";;
"Issue order";"Order ORD.2026.00012628 was issued for process PROC.2026.00012626. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012628";"order_id";"PROC.2026.00012626";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00012626. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012626";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00012626 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012626";"process_id";;;;;;
"Register request";"Request PROC.2026.00012733 was registered by Alice Martins for project Student Portal, with an estimated amount of 3.997,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3997,25 €";"amount";"PROC.2026.00012733";"process_id";"Student Portal";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00012733 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00012733";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00012733, in the amount of 3.997,25€, under budget record BUD.2026.00012755. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"3997,25 €";"amount";"BUD.2026.00012755";"budget_id";"PROC.2026.00012733";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00012733, in the amount of 3.997,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3997,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00012733";"process_id";;
"Commit expense";"Commitment COM.2026.00012796 was generated for process PROC.2026.00012733, in the amount of 3.997,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3997,25 €";"amount";"COM.2026.00012796";"commitment_id";"PROC.2026.00012733";"process_id";;
"Issue order";"Order ORD.2026.00012720 was issued for process PROC.2026.00012733. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00012720";"order_id";"PROC.2026.00012733";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00012733. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00012733";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00012733 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00012733";"process_id";;;;;;
"Register request";"Request PROC.2026.00012866 was registered by Alice Martins for project Secure Archive, with an estimated amount of 5.603,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5603,75 €";"amount";"PROC.2026.00012866";"process_id";"Secure Archive";"project";"Alice Martins";"requester"
